year,round,race_name,circuit_id,circuit_name,date,Other,Race Incident/Crash,Race Status,Technical Failure,Total,Total_Retirements
2010,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2010-06-13,0,1,19,4,24,5
2010,9,European Grand Prix,valencia,Valencia Street Circuit,2010-06-27,0,2,21,1,24,3
2010,10,British Grand Prix,silverstone,Silverstone Circuit,2010-07-11,0,1,20,3,24,4
2010,11,German Grand Prix,hockenheimring,Hockenheimring,2010-07-25,0,2,19,3,24,5
2010,12,Hungarian Grand Prix,hungaroring,Hungaroring,2010-08-01,0,1,19,4,24,5
2010,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2010-08-29,0,4,20,0,24,4
2010,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2010-09-12,0,1,20,3,24,4
2010,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2010-09-26,0,5,15,4,24,9
2010,16,Japanese Grand Prix,suzuka,Suzuka Circuit,2010-10-10,0,4,16,4,24,8
2010,17,Korean Grand Prix,yeongam,Korean International Circuit,2010-10-24,0,7,15,2,24,9
2010,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2010-11-07,0,1,23,0,24,1
2010,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2010-11-14,0,2,20,2,24,4
2011,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2011-03-27,2,2,15,3,22,5
2011,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2011-04-10,0,3,18,3,24,6
2011,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2011-04-17,0,0,23,1,24,1
2011,4,Turkish Grand Prix,istanbul,Istanbul Park,2011-05-08,0,1,22,1,24,2
2011,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2011-05-22,0,1,21,2,24,3
2011,6,Monaco Grand Prix,monaco,Circuit de Monaco,2011-05-29,1,4,17,2,24,6
2011,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2011-06-12,0,5,17,2,24,7
2011,8,European Grand Prix,valencia,Valencia Street Circuit,2011-06-26,0,0,24,0,24,0
2011,9,British Grand Prix,silverstone,Silverstone Circuit,2011-07-10,0,1,19,4,24,5
2011,10,German Grand Prix,nurburgring,Nürburgring,2011-07-24,0,1,20,3,24,4
2011,11,Hungarian Grand Prix,hungaroring,Hungaroring,2011-07-31,0,0,20,4,24,4
2011,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2011-08-28,0,2,19,3,24,5
2011,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2011-09-11,0,4,16,4,24,8
2011,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2011-09-25,0,3,20,1,24,4
2011,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2011-10-09,0,0,23,1,24,1
